survey_id,survey_choice,value
54,6,6
54,7,7
54,8,8
54,9,9
54,10,10

56,まったくそうでない,1
56,かなりそうでない,2
56,ややそうでない,3
56,どちらともいえない,4
56,ややそうである,5
56,かなりそうである,6
56,まったくそうである,7
57,まったくそうでない,1
57,かなりそうでない,2
57,ややそうでない,3
57,どちらともいえない,4
57,ややそうである,5
57,かなりそうである,6
57,まったくそうである,7
58,まったくそうでない,1
58,かなりそうでない,2
58,ややそうでない,3
58,どちらともいえない,4
58,ややそうである,5
58,かなりそうである,6
58,まったくそうである,7
59,まったくそうでない,1
59,かなりそうでない,2
59,ややそうでない,3
59,どちらともいえない,4
59,ややそうである,5
59,かなりそうである,6
59,まったくそうである,7
60,まったくそうでない,1
60,かなりそうでない,2
60,ややそうでない,3
60,どちらともいえない,4
60,ややそうである,5
60,かなりそうである,6
60,まったくそうである,7
61,まったくそうでない,1
61,かなりそうでない,2
61,ややそうでない,3
61,どちらともいえない,4
61,ややそうである,5
61,かなりそうである,6
61,まったくそうである,7
62,まったくそうでない,1
62,かなりそうでない,2
62,ややそうでない,3
62,どちらともいえない,4
62,ややそうである,5
62,かなりそうである,6
62,まったくそうである,7
63,まったくそうでない,1
63,かなりそうでない,2
63,ややそうでない,3
63,どちらともいえない,4
63,ややそうである,5
63,かなりそうである,6
63,まったくそうである,7
64,まったくそうでない,1
64,かなりそうでない,2
64,ややそうでない,3
64,どちらともいえない,4
64,ややそうである,5
64,かなりそうである,6
64,まったくそうである,7
65,まったくそうでない,1
65,かなりそうでない,2
65,ややそうでない,3
65,どちらともいえない,4
65,ややそうである,5
65,かなりそうである,6
65,まったくそうである,7
66,まったくそうでない,1
66,かなりそうでない,2
66,ややそうでない,3
66,どちらともいえない,4
66,ややそうである,5
66,かなりそうである,6
66,まったくそうである,7
67,まったくそうでない,1
67,かなりそうでない,2
67,ややそうでない,3
67,どちらともいえない,4
67,ややそうである,5
67,かなりそうである,6
67,まったくそうである,7

69,非常に好き,7
69,かなり好き,6
69,やや好き,5
69,どちらともいえない,4
69,やや嫌い,3
69,かなり嫌い,2
69,非常に嫌い,1
70,非常に快適,7
70,かなり快適,6
70,やや快適,5
70,どちらともいえない,4
70,やや不快,3
70,かなり不快,2
70,非常に不快,1
71,非常に面白い,7
71,かなり面白い,6
71,やや面白い,5
71,どちらともいえない,4
71,ややたいくつ,3
71,かなりたいくつ,2
71,非常にたいくつ,1
72,非常に落ち着く,7
72,かなり落ち着く,6
72,やや落ち着く,5
72,どちらともいえない,4
72,ややイライラする,3
72,かなりイライラする,2
72,非常にイライラする,1
73,非常に安らぎがある,7
73,かなり安らぎがある,6
73,やや安らぎがある,5
73,どちらともいえない,4
73,やや安らぎがない,3
73,かなり安らぎがない,2
73,非常に安らぎがない,1
74,非常に明るい,7
74,かなり明るい,6
74,やや明るい,5
74,どちらともいえない,4
74,やや暗い,3
74,かなり暗い,2
74,非常に暗い,1
75,非常に緑が多い,7
75,かなり緑が多い,6
75,やや緑が多い,5
75,どちらともいえない,4
75,やや緑が少ない,3
75,かなり緑が少ない,2
75,非常に緑が少ない,1
76,非常に自然な,7
76,かなり自然な,6
76,やや自然な,5
76,どちらともいえない,4
76,やや人工的な,3
76,かなり人工的な,2
76,非常に人工的な,1
77,非常にきれいな,7
77,かなりきれいな,6
77,ややきれいな,5
77,どちらともいえない,4
77,やや汚い,3
77,かなり汚い,2
77,非常に汚い,1
78,非常に広々とした,7
78,かなり広々とした,6
78,やや広々とした,5
78,どちらともいえない,4
78,やや窮屈,3
78,かなり窮屈,2
78,非常に窮屈,1
79,非常に歩きやすい,7
79,かなり歩きやすい,6
79,やや歩きやすい,5
79,どちらともいえない,4
79,やや歩きにくい,3
79,かなり歩きにくい,2
79,非常に歩きにくい,1
80,非常に楽しい,7
80,かなり楽しい,6
80,やや楽しい,5
80,どちらともいえない,4
80,やや楽しくない,3
80,かなり楽しくない,2
80,非常に楽しくない,1
81,非常に個性的な,7
81,かなり個性的な,6
81,やや個性的な,5
81,どちらともいえない,4
81,やや平凡,3
81,かなり平凡,2
81,非常に平凡,1
82,非常に開放的な,7
82,かなり開放的な,6
82,やや開放的な,5
82,どちらともいえない,4
82,やや圧迫感がある,3
82,かなり圧迫感がある,2
82,非常に圧迫感がある,1
83,非常に活発な,7
83,かなり活発な,6
83,やや活発な,5
83,どちらともいえない,4
83,ややおとなしい,3
83,かなりおとなしい,2
83,非常におとなしい,1
84,とても使いやすかった,5
84,やや使いやすかった,4
84,どちらともいえない,3
84,あまり使いやすくなかった,2
84,全く使いやすくなかった,1
85,とても楽しかった,5
85,やや楽しかった,4
85,どちらともいえない,3
85,あまり楽しくなかった,2
85,全く楽しくなかった,1
86,落語みゅーじあむ,1
86,池田城跡公園,2
86,池田観光案内所,3
86,まがり書房,5
86,井戸の辻（ビリケンさん）,6
86,shokuの店,7
86,特になかった,99
87,とてもわかりやすかった,5
87,ややわかりやすかった,4
87,どちらともいえない,3
87,あまりわかりやすくなかった,2
87,まったくわかりやすくなかった,1
88,とても難しかった,5
88,やや難しかった,4
88,どちらともいえない,3
88,やや易しかった,2
88,とても易しかった,1
89,多すぎた,5
89,少し多すぎた,4
89,ちょうどよい,3
89,やや少なすぎた,2
89,少なすぎた,1
90,とても参加したいと思う,5
90,やや参加したいと思う,4
90,どちらともいえない,3
90,あまり参加したいと思わない,2
90,まったく参加したいと思わない,1
91,とても拡散したいと思う,5
91,やや拡散したいと思う,4
91,どちらともいえない,3
91,あまり拡散したいと思わない,2
91,まったく拡散したいと思わない,1
92,初めて,0
92,第1回（2022年）も来た,1
92,第2回（2023年）も来た,2
92,第3回（2024年6月）も来た,3
93,広報いけだ,1
93,ポスター,2
93,公式WEB,3
93,公式Instagram,4
93,クチコミ・知人の紹介,5
93,知人が出店,6
93,エリアプラットフォームや運営委員会に入っている,7
93,たまたま駅前を訪れて,8
93,その他,99
94,15分程度,1
94,30分程度,2
94,1時間程度,3
94,2時間程度,4
94,2時間以上,5
95,エキナカマルシェ,1
95,せせらぎこどもフェスタ,2
95,駅前公園本部,3
95,サカエマチ商店街,4
95,SUBACO,5
95,休憩施設を利用していない,0

97,とても満足した,5
97,やや満足した,4
97,どちらでもない,3
97,やや不満足だった,2
97,とても不満足だった,1
97,訪れていない,99
98,とても満足した,5
98,やや満足した,4
98,どちらでもない,3
98,やや不満足だった,2
98,とても不満足だった,1
98,訪れていない,99
99,とても満足した,5
99,やや満足した,4
99,どちらでもない,3
99,やや不満足だった,2
99,とても不満足だった,1
99,訪れていない,99
100,とても満足した,5
100,やや満足した,4
100,どちらでもない,3
100,やや不満足だった,2
100,とても不満足だった,1
100,訪れていない,99
101,とても満足した,5
101,やや満足した,4
101,どちらでもない,3
101,やや不満足だった,2
101,とても不満足だった,1
101,訪れていない,99
102,とても満足した,5
102,やや満足した,4
102,どちらでもない,3
102,やや不満足だった,2
102,とても不満足だった,1
102,訪れていない,99
103,とても満足した,5
103,やや満足した,4
103,どちらでもない,3
103,やや不満足だった,2
103,とても不満足だった,1
103,訪れていない,99
104,とても満足した,5
104,やや満足した,4
104,どちらでもない,3
104,やや不満足だった,2
104,とても不満足だった,1
104,訪れていない,99
105,とても満足した,5
105,やや満足した,4
105,どちらでもない,3
105,やや不満足だった,2
105,とても不満足だった,1
105,訪れていない,99
106,とても満足した,5
106,やや満足した,4
106,どちらでもない,3
106,やや不満足だった,2
106,とても不満足だった,1
106,訪れていない,99
107,とても満足した,5
107,やや満足した,4
107,どちらでもない,3
107,やや不満足だった,2
107,とても不満足だった,1
107,訪れていない,99
108,とても満足した,5
108,やや満足した,4
108,どちらでもない,3
108,やや不満足だった,2
108,とても不満足だった,1
108,訪れていない,99
